Domain,Base Domain,censys-snapshot,rdns-snapshot,dap,eot2016,parents
3dprintvip.niaid.nih.gov,nih.gov,False,True,False,False,False
3dr.adlnet.gov,adlnet.gov,True,False,True,True,False
3dvcell.ncbi.nlm.nih.gov,nih.gov,False,False,False,True,False
3lzbivapdo.adlnet.gov,adlnet.gov,False,False,False,True,False
3pdp.fmcsa.dot.gov,dot.gov,False,False,False,True,False
3tfnif.nimh.nih.gov,nih.gov,False,False,False,True,False
3ww.moneyfactory.gov,moneyfactory.gov,False,False,False,True,False
3ww.moneyfactorystore.gov,moneyfactorystore.gov,False,False,False,True,False
3www.moneyfactorystore.gov,moneyfactorystore.gov,False,False,False,True,False
4.eere.energy.gov,energy.gov,False,False,False,True,False
4.fdic.gov,fdic.gov,False,False,False,True,False
4.fedshirevets.gov,fedshirevets.gov,False,False,False,True,False
4.ftc.gov,ftc.gov,False,False,False,True,False
4.od.nih.gov,nih.gov,False,False,False,True,False
4.rcf.bnl.gov,bnl.gov,False,False,False,True,False
4.va.gov,va.gov,False,False,False,True,False
400dg.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
404survey.sec.gov,sec.gov,False,False,False,True,False
40globalenablerprodlike.apps.prod-iae.bsp.gsa.gov,gsa.gov,False,False,True,False,False
428saic17.ncifcrf.gov,ncifcrf.gov,False,False,False,True,False
45petitions.whitehouse.gov,whitehouse.gov,False,False,True,False,False
469csal7.ncifcrf.gov,ncifcrf.gov,False,False,False,True,False
4a.cms.gov,cms.gov,False,False,False,True,False
4b.cms.gov,cms.gov,False,False,False,True,False
4help.jpl.nasa.gov,nasa.gov,False,False,False,True,False
4id.xor.aps.anl.gov,anl.gov,False,False,False,True,False
4mmp.cdc.gov,cdc.gov,True,False,False,False,False
5.eere.energy.gov,energy.gov,False,False,False,True,False
5.hanford.gov,hanford.gov,False,False,False,True,False
5.hud.gov,hud.gov,False,False,False,True,False
50.neh.gov,neh.gov,False,False,True,True,False
50.usaid.gov,usaid.gov,False,False,False,True,False
508.hhs.gov,hhs.gov,False,False,False,True,False
508.nih.gov,nih.gov,True,False,False,True,False
508.samhsa.gov,samhsa.gov,False,False,False,True,False
508controlone.defense.gov,defense.gov,True,False,True,False,False
508controltwo.defense.gov,defense.gov,True,False,False,False,False
508tac.ahrq.gov,ahrq.gov,False,False,False,True,False
50th.usaid.gov,usaid.gov,False,False,False,True,False
5241orderrequest.sandia.gov,sandia.gov,False,True,False,False,False
527-price.house.gov,house.gov,False,False,False,True,False
527-rohrabacher.house.gov,house.gov,False,False,False,True,False
52weeks4women.nih.gov,nih.gov,False,False,False,True,False
52weeks4women.sites.usa.gov,usa.gov,True,False,True,True,False
538bcdp2.ncifcrf.gov,ncifcrf.gov,False,False,False,True,False
55samfrontendcomp.apps.prod-iae.bsp.gsa.gov,gsa.gov,False,False,True,False,False
55samfrontendminc.apps.prod-iae.bsp.gsa.gov,gsa.gov,False,False,True,False,False
55samfrontendprod.apps.prod-iae.bsp.gsa.gov,gsa.gov,False,False,True,False,False
55samfrontendprodlike.apps.prod-iae.bsp.gsa.gov,gsa.gov,False,False,True,False,False
560lib10.ncifcrf.gov,ncifcrf.gov,False,False,False,True,False
560lib3.ncifcrf.gov,ncifcrf.gov,False,False,False,True,False
58000.nih.gov,nih.gov,True,False,False,True,False
5aday.forum.cdc.gov,cdc.gov,False,False,False,True,False
5aday.nci.nih.gov,nih.gov,False,False,False,True,False
5gmm.nist.gov,nist.gov,True,False,True,False,False
5j0lse128a.moneyfactorystore.gov,moneyfactorystore.gov,False,False,False,True,False
5thbday.usaid.gov,usaid.gov,False,False,False,True,False
5v802u7gqm.moneyfactorystore.gov,moneyfactorystore.gov,False,False,False,True,False
6005.fhwa.dot.gov,dot.gov,False,False,False,True,False
60plus.smokefree.gov,smokefree.gov,True,False,True,True,False
64-webserve-nt.jpl.nasa.gov,nasa.gov,False,False,False,True,False
647trc-kinetics.boulder.nist.gov,nist.gov,False,False,True,False,False
6id.xor.aps.anl.gov,anl.gov,False,False,False,True,False
6id.xray.aps.anl.gov,anl.gov,False,False,False,True,False
7-seas.gsfc.nasa.gov,nasa.gov,True,False,True,True,False
7.ncdc.noaa.gov,noaa.gov,False,False,False,True,False
7.weather.noaa.gov,noaa.gov,False,False,False,True,False
70.nvwg.cap.gov,cap.gov,False,False,False,True,False
72a.fss.gsa.gov,gsa.gov,False,False,False,True,False
72a.gsa.gov,gsa.gov,True,False,False,True,False
75anniversary.va.gov,va.gov,False,False,False,True,False
7bm.xor.aps.anl.gov,anl.gov,False,False,False,True,False
7bm.xray.aps.anl.gov,anl.gov,False,False,False,True,False
7id.xray.aps.anl.gov,anl.gov,False,False,False,True,False
8.nos.noaa.gov,noaa.gov,False,False,False,True,False
8049.flwg.cap.gov,cap.gov,False,False,False,True,False
858checklist.sandia.gov,sandia.gov,False,True,False,False,False
858facreq.sandia.gov,sandia.gov,False,True,False,False,False
86dev.sandia.gov,sandia.gov,False,True,False,False,False
8cc-ca8.uscourts.gov,uscourts.gov,False,False,False,True,False
8cc-ra.ca8.uscourts.gov,uscourts.gov,False,False,False,True,False
8cc-www.ca8.uscourts.gov,uscourts.gov,False,False,False,True,False
8id.xor.aps.anl.gov,anl.gov,False,False,False,True,False
8id.xray.aps.anl.gov,anl.gov,False,False,False,True,False
900web.dis.anl.gov,anl.gov,False,False,False,True,False
911.faa.gov,faa.gov,False,False,False,True,False
911exhibit.state.gov,state.gov,False,False,False,True,False
96th.glr.cap.gov,cap.gov,False,False,False,True,False
999.ead.anl.gov,anl.gov,False,False,False,True,False
9aday.cancer.gov,cancer.gov,False,False,False,True,False
9ivsoq027w.sierrawild.gov,sierrawild.gov,False,False,False,True,False
9nzmp486fj.sierrawild.gov,sierrawild.gov,False,False,False,True,False
a-76.nih.gov,nih.gov,False,False,False,True,False
a-76.srs.gov,srs.gov,False,False,False,True,False
a-acano-webrtc.senate.gov,senate.gov,True,True,False,False,False
a-app-fl03.acpt.nsf.gov,nsf.gov,False,False,True,False,False
a-app-fl04.acpt.nsf.gov,nsf.gov,False,False,True,False,False
a-app-l-extwki1.nsf.gov,nsf.gov,False,False,False,True,False
a-app-l-seind01.nsf.gov,nsf.gov,False,False,True,True,False
a-app-l-seind02.nsf.gov,nsf.gov,False,False,False,True,False
a-ess-sdc2.senate.gov,senate.gov,True,False,False,False,False
a-stage-camera.xray.aps.anl.gov,anl.gov,False,True,False,False,False
a-ta-expresse1.senate.gov,senate.gov,True,True,False,False,False
a-train-neworleans2010.larc.nasa.gov,nasa.gov,True,True,False,True,False
a-web-l-seist01.nsf.gov,nsf.gov,False,False,True,False,False
a-web-s-wwwtst1.nsf.gov,nsf.gov,False,False,True,True,False
a-web-s-wwwtst2.nsf.gov,nsf.gov,False,False,False,True,False
a-www.bis.doc.gov,doc.gov,False,False,False,True,False
a.cdc.gov,cdc.gov,False,False,False,True,False
a.ncbi.nlm.nih.gov,nih.gov,False,False,False,True,False
a.pppl.gov,pppl.gov,False,False,False,True,False
a.tile.maps.ed.gov,ed.gov,False,False,False,True,False
a.usconsulate.gov,usconsulate.gov,False,False,False,True,False
a.usembassy.gov,usembassy.gov,False,False,False,True,False
a0pi-video1.fnal.gov,fnal.gov,False,False,False,True,False
a130.cio.gov,cio.gov,False,False,True,True,False
a2e.energy.gov,energy.gov,True,False,False,False,False
a2e.pnnl.gov,pnnl.gov,True,False,False,False,False
a2zcm1.nara.gov,nara.gov,True,False,False,False,False
a2zcm5.nara.gov,nara.gov,True,True,False,False,False
aa015.cr.usgs.gov,usgs.gov,False,False,False,True,False
aa035.cr.usgs.gov,usgs.gov,False,False,False,True,False
aa036.cr.usgs.gov,usgs.gov,False,False,False,True,False
aa179.cr.usgs.gov,usgs.gov,False,False,False,True,False
aaa-itsupport.usgs.gov,usgs.gov,True,True,False,False,False
aaa.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
aaa.lanl.gov,lanl.gov,False,False,False,True,False
aaac.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
aaac.larc.nasa.gov,nasa.gov,False,False,False,True,False
aaadev.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
aaaisymposium.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
aaap.gsa.gov,gsa.gov,True,False,False,True,False
aaap.ncr.gsa.gov,gsa.gov,False,False,False,True,False
aaaprod.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
aaav.usaid.gov,usaid.gov,False,True,False,False,False
aab.larc.nasa.gov,nasa.gov,True,False,True,True,False
aac.va.gov,va.gov,False,False,False,True,False
aac08.lbl.gov,lbl.gov,False,False,False,True,False
aacinquiry.fas.gsa.gov,gsa.gov,True,False,False,False,False
aad.archives.gov,archives.gov,True,True,False,True,False
aads.faa.gov,faa.gov,True,False,False,False,False
aadsweb.nascom.nasa.gov,nasa.gov,False,False,False,True,False
aaem.amc.anl.gov,anl.gov,False,False,False,True,False
aafp.ahrq.gov,ahrq.gov,False,False,False,True,False
aah.nlm.nih.gov,nih.gov,True,True,False,False,False
aah9600.fnal.gov,fnal.gov,False,False,False,True,False
aahq.fnal.gov,fnal.gov,False,False,False,True,False
aai-d.aps.anl.gov,anl.gov,False,True,False,False,False
aai-perf.cr.usgs.gov,usgs.gov,False,False,False,True,False
aai.anl.gov,anl.gov,True,False,False,True,False
aal.faa.gov,faa.gov,False,False,False,True,False
aao.uc.usbr.gov,usbr.gov,False,False,False,True,False
aapi.data.gov,data.gov,True,False,False,False,False
aapz-diss-1.cdc.gov,cdc.gov,False,True,False,False,False
aar.tc.faa.gov,faa.gov,False,False,False,True,False
aar400.tc.faa.gov,faa.gov,False,False,False,True,False
aar450.tc.faa.gov,faa.gov,False,False,False,True,False
aas.gsa.gov,gsa.gov,True,False,False,False,False
aasi-campaign.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
aasis-dev.cit.nih.gov,nih.gov,False,False,True,False,False
aasis.omha.hhs.gov,hhs.gov,True,False,True,True,False
aasm.sc.egov.usda.gov,usda.gov,True,False,False,False,False
aasz-vtks-1.cdc.gov,cdc.gov,False,True,False,False,False
aasz-vtks-2.cdc.gov,cdc.gov,False,True,False,False,False
aat.nws.noaa.gov,noaa.gov,False,False,False,True,False
aatt.arc.nasa.gov,nasa.gov,False,False,False,True,False
aav2.ninds.nih.gov,nih.gov,True,False,False,False,False
aawu.arh.noaa.gov,noaa.gov,False,False,False,True,False
ab00.larc.nasa.gov,nasa.gov,False,False,False,True,False
ab2.wr.usgs.gov,usgs.gov,False,False,False,True,False
aba500.faa.gov,faa.gov,False,False,False,True,False
abacus.er.usgs.gov,usgs.gov,False,False,False,True,False
abacus.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
abacustest.ofda.gov,ofda.gov,False,True,False,False,False
abadrl.ars.usda.gov,usda.gov,False,False,False,True,False
abarrshvuat.ofac.treas.gov,treas.gov,True,True,False,False,False
abarrslite.ofac.treas.gov,treas.gov,True,True,False,True,False
abarrsliteuat.ofac.treas.gov,treas.gov,True,True,False,False,False
abaweb.faa.gov,faa.gov,False,False,False,True,False
abba.gsfc.nasa.gov,nasa.gov,False,False,False,True,False
abc.lbl.gov,lbl.gov,False,False,False,True,False
abcc.ncifcrf.gov,ncifcrf.gov,False,False,False,True,False
abcc8100.ncifcrf.gov,ncifcrf.gov,False,False,False,True,False
abcd.nih.gov,nih.gov,True,False,False,False,False
abclab.jpl.nasa.gov,nasa.gov,False,False,True,False,False
abdc.arc.nasa.gov,nasa.gov,False,False,False,True,False
abe.arc.nasa.gov,nasa.gov,False,False,False,True,False
abercrombie.house.gov,house.gov,False,False,False,True,False
abercrombieforms.house.gov,house.gov,False,False,False,True,False
aberdeen.ihs.gov,ihs.gov,False,False,False,True,False
abetterdeal.democraticleader.gov,democraticleader.gov,True,False,False,False,False
abetterway.speaker.gov,speaker.gov,True,False,False,True,False
abex.lbl.gov,lbl.gov,False,False,False,True,False
abfm.ksc.nasa.gov,nasa.gov,True,True,False,True,False
abftp.larc.nasa.gov,nasa.gov,False,False,False,True,False
abgradcon.arc.nasa.gov,nasa.gov,False,False,False,True,False
abiatct.jccbi.gov,jccbi.gov,False,False,False,True,False
abidjan.usembassy.gov,usembassy.gov,False,False,False,True,False
ability.nci.nih.gov,nih.gov,False,False,False,True,False
about.myra.gov,myra.gov,True,False,False,False,False
aboutmaptis-dev.cloudappsnp.ndc.nasa.gov,nasa.gov,False,False,True,False,False
aboutusa.japan.usembassy.gov,usembassy.gov,True,False,False,True,False
above-dev.gsfc.nasa.gov,nasa.gov,False,False,True,True,False
above.gsfc.nasa.gov,nasa.gov,True,False,False,False,False
above.nasa.gov,nasa.gov,True,False,True,True,False
abp.cr.usgs.gov,usgs.gov,True,False,True,True,False
abpdu.lbl.gov,lbl.gov,True,False,False,True,False
abpxnd1ery.adlnet.gov,adlnet.gov,False,False,False,True,False
abqafss.jccbi.gov,jccbi.gov,False,False,False,True,False
abqatct.jccbi.gov,jccbi.gov,False,False,False,True,False
abqhr.doeal.gov,doeal.gov,True,True,False,False,False
abqservices.doeal.gov,doeal.gov,True,True,False,False,False
abr.anl.gov,anl.gov,False,False,False,True,False
abraham.house.gov,house.gov,False,False,False,True,False
abraham.senate.gov,senate.gov,False,False,False,True,False
abramsppp.sep.bnl.gov,bnl.gov,False,False,False,True,False
abrfc.noaa.gov,noaa.gov,False,False,False,True,False
abs.cit.nih.gov,nih.gov,True,False,False,True,False
abs.mswg.cap.gov,cap.gov,False,False,False,True,False
absalpha.cit.nih.gov,nih.gov,False,False,False,True,False
